dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,15,0.5666666666666667,0.36363636363636365,0.4,0.38095238095238093,0.5249999999999999
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,1,0.5,0.7,0.6363636363636364,0.6666666666666666,0.45454545454545453
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,2,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.5999999999999999
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,3,0.7142857142857143,0.75,0.9,0.8181818181818182,0.8
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,4,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619,0.6
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,5,0.7692307692307693,0.8181818181818182,0.9,0.8571428571428571,0.6333333333333333
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,6,0.5714285714285714,0.7777777777777778,0.6363636363636364,0.7,0.3939393939393939
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,7,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.75
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,8,0.7142857142857143,0.75,0.9,0.8181818181818182,0.475
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,9,0.7142857142857143,0.75,0.9,0.8181818181818182,0.7
